Num Total,Num Right,Acc,CC,CI,IC,II
839,683,0.8140643623361145,270,24,132,413
839,630,0.7508939213349225,287,7,202,343
839,661,0.7878426698450537,282,12,166,379
839,717,0.8545887961859356,275,19,103,442
839,688,0.8200238379022646,277,17,134,411
839,725,0.8641239570917759,266,28,86,459
839,715,0.8522050059594756,282,12,112,433
839,736,0.8772348033373063,279,15,88,457
839,738,0.8796185935637664,286,8,93,452
839,730,0.8700834326579261,290,4,105,440
839,739,0.8808104886769964,282,12,88,457
839,735,0.8760429082240763,289,5,99,446
839,727,0.866507747318236,284,10,102,443
839,732,0.8724672228843862,282,12,95,450
839,734,0.8748510131108462,285,9,96,449
839,737,0.8784266984505363,281,13,89,456
